Search_method Problem Max_evals Run Score
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 11 -27819
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 12 -29310
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 13 -27120
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 14 -28239
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 15 -28068
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 16 -28587
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 17 -27246
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 18 -27669
simple_mutation_pop_100 knapPI_13_200_1000_4 1000 19 -27687
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 0 -43056
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 1 -44103
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 2 -45016
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 3 -43230
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 4 -42577
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 5 -42047
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 6 -43899
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 7 -39503
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 8 -41720
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 9 -44918
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 10 -40787
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 11 -40952
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 12 -41852
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 13 -41875
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 14 -42051
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 15 -43899
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 16 -43543
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 17 -42322
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 18 -41277
simple_mutation_pop_100 knapPI_16_200_1000_4 1000 19 -42674
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 0 -224384
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 1 -225249
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 2 -230040
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 3 -229255
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 4 -220855
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 5 -229134
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 6 -222194
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 7 -231469
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 8 -229388
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 9 -229976
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 10 -225348
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 11 -227943
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 12 -230371
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 13 -223658
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 14 -223668
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 15 -227667
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 16 -223852
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 17 -229132
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 18 -225708
simple_mutation_pop_100 knapPI_16_1000_1000_3 1000 19 -228588
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 0 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 1 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 2 1320
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 3 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 4 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 5 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 6 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 7 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 8 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 9 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 10 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 11 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 12 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 13 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 14 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 15 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 16 1360
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 17 1440
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 18 1400
uniform_xo_pop_100 knapPI_11_20_1000_4 1000 19 1400
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 0 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 1 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 2 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 3 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 4 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 5 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 6 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 7 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 8 890
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 9 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 10 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 11 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 12 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 13 907
